iter,cost,gradnorm,stepsize,time,accepted,linesearch,hooked
0,265.200170996849,37.9851990499647,NaN,0.026938,NaN,,NaN
1,85.3813398378647,29.1855976578529,37.9851990499647,0.093675,1,,NaN
2,-102.496366789696,15.4455878481901,21.8262423389473,0.197224,1,,NaN
3,-115.229988605739,13.7706172567948,10.754688590515,0.302317,1,,NaN
4,-138.408482301916,7.2216225364518,5.89880903656305,0.409328,1,,NaN
5,-142.385072737569,5.97713053804978,4.04071399935797,0.53025,1,,NaN
6,-146.401325641404,2.97116271164062,2.6897491342729,0.664907,1,,NaN
7,-147.884647162735,0.448955752807653,0.994467929442135,0.813725,1,,NaN
8,-147.91738321294,0.0794190266266484,0.175013802876896,0.977511,1,,NaN
9,-147.918430491045,0.00388149978342532,0.0269595212508073,1.158204,1,,NaN
10,-147.918432928074,0.000666741931684455,0.00149369606858959,1.348682,1,,NaN
11,-147.918433002127,1.51134095874354e-05,0.000224035870377136,1.553987,1,,NaN
12,-147.918433002166,9.9222747385055e-07,5.33890084796767e-06,1.77218,1,,NaN
