      0   4.58968696487922311888e+00    -1.00000000000000000000e+00     0.0000000000e+00      
    149   8.26009990839659570538e-03     8.30465436938059880510e-15     1.5625000000e-02  grdl
    150   8.25729290321275052889e-03     1.16855857500005141465e-14     7.8125000000e-03  grdl
    151   8.25509654705370785055e-03     1.32085378474608691957e-14     7.8125000000e-03  grdl
    152   8.25373622489464567331e-03     6.89558657042631100720e-15     1.5625000000e-02  grdl
    153   8.25075027015363497707e-03     6.60027901472038215480e-15     7.8125000000e-03  grdl
    154   8.24847822135268624044e-03     6.12028611655871401996e-15     7.8125000000e-03  grdl
    155   8.24748077155392465831e-03     7.26778778714650483590e-15     1.5625000000e-02  grdl
    156   8.24428325232657438493e-03     5.79856441083941278060e-15     7.8125000000e-03  grdl
    157   8.24192045383980928519e-03     4.77832109333677326916e-15     7.8125000000e-03  grdl
    158   8.24134322547073402965e-03     7.17502505240951751734e-15     1.5625000000e-02  grdl
    159   8.23789600734183349862e-03     9.14563487522668409270e-15     7.8125000000e-03  grdl
    160   8.23542486564507111857e-03     7.07011270863252414190e-15     7.8125000000e-03  grdl
    161   8.23533500604056376004e-03     6.06310152464717483494e-15     1.5625000000e-02  grdl
    162   8.23159349741524673516e-03     5.62516948176482063422e-15     7.8125000000e-03  grdl
    163   8.22899345090668220271e-03     7.73669774265870903594e-15     7.8125000000e-03  grdl
    164   8.22691926616624276403e-03     4.74075181078719644954e-15     7.8125000000e-03  grdl
    165   8.22538160212287969286e-03     5.06511009596284335312e-15     1.5625000000e-02  grdl
    166   8.22262861811346584817e-03     4.81665533378524069326e-15     7.8125000000e-03  grdl
    167   8.22049038573057812285e-03     7.34987775519320055452e-15     7.8125000000e-03  grdl
    168   8.21926734221170574024e-03     4.86403530242231821140e-15     1.5625000000e-02  grdl
    169   8.21633332305118056771e-03     3.96946216545597187878e-15     7.8125000000e-03  grdl
    170   8.21411806535079017100e-03     1.01811587344564442564e-14     7.8125000000e-03  grdl
    171   8.21325900337322063749e-03     6.75260814934651021625e-15     1.5625000000e-02  grdl
    172   8.21011109691864235383e-03     9.23147354691389750256e-15     7.8125000000e-03  grdl
    173   8.20780365163825340047e-03     1.20334945522562595248e-14     7.8125000000e-03  grdl
    174   8.20736637321024288527e-03     6.01773438653223221177e-15     1.5625000000e-02  grdl
    175   8.20396616464115491230e-03     8.59072304094104355091e-15     7.8125000000e-03  grdl
    176   8.20154881304699032163e-03     6.49107226401259973538e-15     7.8125000000e-03  grdl
    177   8.19958438860626630251e-03     8.30460883363929468912e-15     7.8125000000e-03  grdl
    178   8.19790354283441227712e-03     6.39659256174152996734e-15     1.5625000000e-02  grdl
    179   8.19535557629574168415e-03     9.36460926874507914984e-15     7.8125000000e-03  grdl
    180   8.19333706798123541371e-03     4.83244026889829267596e-15     7.8125000000e-03  grdl
    181   8.19192923054028014629e-03     3.94642194492470991727e-15     1.5625000000e-02  grdl
    182   8.18922643870846796166e-03     5.06492982596211929154e-15     7.8125000000e-03  grdl
    183   8.18714265833097969149e-03     6.87441929781169069618e-15     7.8125000000e-03  grdl
    184   8.18605031805810269552e-03     8.70790262420035031403e-15     1.5625000000e-02  grdl
    185   8.18316439459519477662e-03     5.73685542061930386881e-15     7.8125000000e-03  grdl
    186   8.18100227221046742698e-03     2.73952043479677475069e-15     7.8125000000e-03  grdl
    187   8.18027519059434313209e-03     9.97125938928672414734e-15     1.5625000000e-02  grdl
    188   8.17717303655223111403e-03     6.68710279255822505973e-15     7.8125000000e-03  grdl
    189   8.17491729999323714362e-03     3.98330299945188298767e-15     7.8125000000e-03  grdl
    190   8.17461374736379309258e-03     2.29380037137306550724e-15     1.5625000000e-02  grdl
    191   8.17125665630251234173e-03     1.32646546740931655794e-14     7.8125000000e-03  grdl
    192   8.16888945620601256148e-03     3.96816737484611101434e-15     7.8125000000e-03  grdl
    193   8.16697833800087390210e-03     6.62596276497548889561e-15     7.8125000000e-03  grdl
    194   8.16542034445448365598e-03     2.68407921274052424833e-15     1.5625000000e-02  grdl
    195   8.16292081722624907059e-03     7.26966058783048555726e-15     7.8125000000e-03  grdl
    196   8.16095448789519624377e-03     2.69245783331814812390e-15     7.8125000000e-03  grdl
    197   8.15967018024120992192e-03     6.77412303557710930277e-15     1.5625000000e-02  grdl
    198   8.15701393190599449712e-03     6.00896661377214994899e-15     7.8125000000e-03  grdl
    199   8.15498112236702661637e-03     7.41116623773931394437e-15     7.8125000000e-03  grdl
    200   8.15401334386411068278e-03     1.68872393785017105374e-15     1.5625000000e-02  grdl
    201   8.15117185078873852933e-03     9.31702002430102119316e-15     7.8125000000e-03  grdl
    202   8.14905939463534539913e-03     6.10112608298048188170e-15     7.8125000000e-03  grdl
    203   8.14845832112022841476e-03     5.04723481110182697018e-15     1.5625000000e-02  grdl
    204   8.14539822747546368720e-03     6.72220748464088890822e-15     7.8125000000e-03  grdl
    205   8.14319073777318609697e-03     4.12374127422612508293e-15     7.8125000000e-03  grdl
    206   8.14301512444554585757e-03     6.97109114367458749319e-15     1.5625000000e-02  grdl
    207   8.13969742036854161660e-03     5.05465266208247733891e-15     7.8125000000e-03  grdl
    208   8.13737691147484003273e-03     5.08638592010037165263e-15     7.8125000000e-03  grdl
    209   8.13551576858224413658e-03     7.41047469148081639874e-15     7.8125000000e-03  grdl
    210   8.13407459424437574713e-03     7.31924231208910223977e-15     1.5625000000e-02  grdl
    211   8.13162004101253797772e-03     5.57672058918442147830e-15     7.8125000000e-03  grdl
    212   8.12970257649161219538e-03     9.80435730513231122219e-15     7.8125000000e-03  grdl
    213   8.12853590908068669718e-03     9.32108077899953608077e-15     1.5625000000e-02  grdl
    214   8.12592272621576357239e-03     5.36268048682140933951e-15     7.8125000000e-03  grdl
    215   8.12393758634673453234e-03     6.25668242696530030778e-15     7.8125000000e-03  grdl
    216   8.12308863592263799558e-03     5.01301482019688124464e-15     1.5625000000e-02  grdl
    217   8.12028807349673455163e-03     4.75225177953484928780e-15     7.8125000000e-03  grdl
    218   8.11822199106760136744e-03     4.33882441027356094940e-15     7.8125000000e-03  grdl
    219   8.11774136257187826915e-03     5.16986629788856212352e-15     1.5625000000e-02  grdl
    220   8.11471979733544880597e-03     4.11722220204897377952e-15     7.8125000000e-03  grdl
    221   8.11255726559661355379e-03     6.56341934638979205374e-15     7.8125000000e-03  grdl
    222   8.11250421663132006977e-03     7.51899282661693748050e-15     1.5625000000e-02  grdl
    223   8.10922232294519589046e-03     8.60268957503026094653e-15     7.8125000000e-03  grdl
    224   8.10694521408381052474e-03     4.18724300542102929226e-15     7.8125000000e-03  grdl
    225   8.10513089143061193909e-03     4.60385997592021002721e-15     7.8125000000e-03  grdl
    226   8.10380088968131774563e-03     5.19702145628969126309e-15     1.5625000000e-02  grdl
    227   8.10138801012231374310e-03     6.26123445032659015723e-15     7.8125000000e-03  grdl
    228   8.09951626918330863658e-03     4.62201282387040701870e-15     7.8125000000e-03  grdl
    229   8.09846173907097059697e-03     6.47543804845290701537e-15     1.5625000000e-02  grdl
    230   8.09588830416946118873e-03     4.54700700280266369388e-15     7.8125000000e-03  grdl
    231   8.09394770269574771737e-03     3.70871884621001269388e-15     7.8125000000e-03  grdl
    232   8.09321223419596190440e-03     3.15573075324981107483e-15     1.5625000000e-02  grdl
    233   8.09044925832398328924e-03     4.28818528570572130738e-15     7.8125000000e-03  grdl
    234   8.08842642378002942005e-03     2.07129095677241426353e-15     7.8125000000e-03  grdl
    235   8.08806106652316600392e-03     2.85644098309966656744e-15     1.5625000000e-02  grdl
    236   8.08507464798708698483e-03     2.87980540856635593055e-15     7.8125000000e-03  grdl
    237   8.08295394854917012561e-03     2.66940931214112099213e-15     7.8125000000e-03  grdl
    238   8.08123209106801666801e-03     3.00541472102694188523e-15     7.8125000000e-03  grdl
    239   8.07976895164127899285e-03     3.80914596665148101205e-15     1.5625000000e-02  grdl
    240   8.07753211270752224937e-03     4.56644192560811133001e-15     7.8125000000e-03  grdl
    241   8.07576162225337977618e-03     4.34280530011973184530e-15     7.8125000000e-03  grdl
    242   8.07453751135523041527e-03     5.69208951748927252995e-15     1.5625000000e-02  grdl
    243   8.07216316248592948013e-03     4.56595656322958587036e-15     7.8125000000e-03  grdl
    244   8.07033416827251069703e-03     4.66754427397156137811e-15     7.8125000000e-03  grdl
    245   8.06938663744596711147e-03     3.69209011931322044244e-15     1.5625000000e-02  grdl
