iter,cost,gradnorm,Delta,time,rho,rhonum,rhoden,accepted,numinner,stepsize,hooked
0,461.925791085221,9.90031885263292,8.88291900221993,0.1529813,Inf,NaN,NaN,1,0,NaN,0
1,394.823476283538,9.80309695500146,17.7658380044399,0.2211646,0.766441546209271,67.1023148017851,87.5504663514984,1,1,8.88291900221993,0
2,373.189227646988,9.75433237294648,4.44145950110997,0.242087,0.126476873086007,21.6342486366378,171.053000511217,1,1,17.7658380044399,0
3,332.095761659008,9.62465072628532,8.88291900221993,0.2607225,0.953861238947566,41.0934659880626,43.0811781736752,1,1,4.44145950110997,0
4,267.682381682546,9.25858772301596,17.7658380044399,0.2855815,0.766695781413669,64.413379976536,84.0142616381267,1,1,8.88291900221993,0
5,247.398072506796,9.07483251713552,4.44145950110997,0.3267204,0.132760792026934,20.2843091758092,152.788401350408,1,1,17.7658380044399,0
6,209.891705703297,8.58660562719415,8.88291900221993,0.335503,0.952101232467924,37.5063668035542,39.393255175539,1,1,4.44145950110997,0
7,155.60644038337,7.20882842437058,17.7658380044399,0.3480987,0.767821138300486,54.2852653199734,70.7004048366391,1,1,8.88291900221993,0
8,140.439937091266,6.51455870935033,4.44145950110997,0.3563063,0.180403211208454,15.1665032921386,84.0700295218906,1,1,17.7658380044399,0
9,116.445878331343,4.6829327737076,8.88291900221993,0.363822,0.940648974656215,23.9940587599548,25.507983749968,1,1,4.44145950110997,0
10,100.320087725492,0.743286180389761,8.88291900221993,0.3758733,0.777346752141499,16.125790605876,20.7446555368647,1,1,8.85968538916897,0
11,100.001682165623,0.0588890453312662,8.88291900221993,0.4019072,0.891526214694703,0.318405559891652,0.357146603928733,1,2,1.01771196197093,0
12,100.000000993138,0.00140964288195274,8.88291900221993,0.4152247,1.01473658668179,0.0016811725070273,0.00165675755569707,1,1,0.0562670875091468,0
13,100,5.26257827823588e-07,8.88291900221993,0.4261983,1.00020562186093,9.93160419682447e-07,9.92956246171291e-07,1,1,0.001408773887944,0
