iter,gradnorm,stepsize
0,8.144266642622e+01,NaN         
1,7.361023177404e+01,+6.250000000000e-02
2,4.453243302513e+01,+2.500000000000e-01
3,2.023166085402e+01,+1.000000000000e+00
4,3.755412034669e+00,+1.000000000000e+00
5,2.336739248199e-01,+1.000000000000e+00
6,1.458374717842e-03,+1.000000000000e+00
7,7.716769889552e-08,+1.000000000000e+00
