iter,cost,gradnorm,Delta,time,rho,rhonum,rhoden,accepted,numinner,stepsize,hooked
0,3440.45249906369,793.304516020439,44.238345922966,0.0501039,Inf,NaN,NaN,1,0,NaN,0
1,1649.26990517318,318.011809160861,44.238345922966,0.9497406,1.20758799100897,1791.18259389128,1483.27294344382,1,6,8.34297581717852,0
2,890.090615784927,126.60415180028,44.238345922966,1.8591498,1.20115376823753,759.179289388616,632.041716442824,1,6,9.62829622120072,0
3,615.505288399068,49.6899980256561,44.238345922966,3.10314,1.18539515411915,274.585327386057,231.640332282359,1,6,8.3772090833358,0
4,533.61451895849,19.1296487975707,44.238345922966,3.9374359,1.1868260082892,81.8907694407138,68.999810308133,1,5,4.35825087102477,0
5,508.826219584174,7.08593054551482,44.238345922966,4.2650064,1.19028634615358,24.7882993744353,20.8254924997997,1,2,2.42948289562292,0
6,501.475816155041,2.30085746425645,44.238345922966,4.7742363,1.16467465362523,7.35040342924535,6.31112165647814,1,3,1.98908314707095,0
7,500.137521215617,0.590829979652753,44.238345922966,5.1053911,1.13568680942007,1.33829493953521,1.1784014117577,1,2,1.06538103625995,0
8,500.003782673368,0.0884797344958367,44.238345922966,5.2982005,1.09022911111519,0.133738542360769,0.122670125937078,1,1,0.415246788587545,0
9,500.000002696077,0.00232285485145862,44.238345922966,5.519923,1.01650206349316,0.00377997740162867,0.00371861262006586,1,1,0.0840556886892036,0
10,500.000000000001,1.24115229927843e-06,44.238345922966,5.7263223,1.00032417741633,2.69618733028725e-06,2.69531357049776e-06,1,1,0.00232059488908855,0
11,499.999999999998,2.07002028221606e-13,44.238345922966,5.9208685,1.01955075590727,1.13978160243278e-10,1.11792531742916e-10,1,1,1.24115192124019e-06,0
